Местное время в Перми,T
30.09.2023 23:00,7.6
30.09.2023 20:00,9.6
30.09.2023 17:00,10.3
30.09.2023 14:00,10.0
30.09.2023 11:00,9.7
30.09.2023 08:00,8.3
30.09.2023 05:00,9.4
30.09.2023 02:00,10.3
29.09.2023 23:00,10.9
29.09.2023 20:00,10.6
29.09.2023 17:00,12.7
29.09.2023 14:00,13.5
29.09.2023 11:00,10.7
29.09.2023 08:00,10.1
29.09.2023 05:00,10.0
29.09.2023 04:00,
29.09.2023 03:00,
29.09.2023 02:00,10.5
28.09.2023 23:00,12.9
28.09.2023 20:00,13.7
28.09.2023 17:00,14.9
28.09.2023 14:00,14.7
28.09.2023 11:00,12.5
28.09.2023 08:00,10.4
28.09.2023 05:00,10.1
28.09.2023 02:00,10.7
27.09.2023 23:00,10.8
27.09.2023 20:00,12.5
27.09.2023 17:00,13.8
27.09.2023 14:00,13.5
27.09.2023 11:00,11.5
27.09.2023 08:00,8.4
27.09.2023 05:00,7.0
27.09.2023 02:00,7.8
26.09.2023 23:00,7.8
26.09.2023 20:00,10.1
26.09.2023 17:00,16.2
26.09.2023 14:00,15.3
26.09.2023 11:00,11.9
26.09.2023 08:00,10.8
26.09.2023 05:00,12.1
26.09.2023 02:00,12.5
25.09.2023 23:00,13.1
25.09.2023 20:00,14.9
25.09.2023 17:00,23.1
25.09.2023 14:00,22.8
25.09.2023 11:00,19.5
25.09.2023 08:00,12.1
25.09.2023 05:00,13.9
25.09.2023 02:00,16.9
24.09.2023 23:00,18.3
24.09.2023 20:00,19.7
24.09.2023 17:00,24.0
24.09.2023 14:00,23.3
24.09.2023 11:00,18.9
24.09.2023 08:00,12.9
24.09.2023 05:00,12.9
24.09.2023 02:00,14.1
23.09.2023 23:00,13.3
23.09.2023 20:00,14.3
23.09.2023 17:00,17.3
23.09.2023 14:00,16.7
23.09.2023 11:00,12.0
23.09.2023 08:00,7.8
23.09.2023 05:00,7.9
23.09.2023 02:00,7.3
22.09.2023 23:00,10.1
22.09.2023 20:00,13.0
22.09.2023 17:00,13.1
22.09.2023 14:00,12.8
22.09.2023 11:00,15.9
22.09.2023 08:00,15.3
22.09.2023 05:00,16.0
22.09.2023 02:00,17.5
21.09.2023 23:00,18.7
21.09.2023 20:00,20.0
21.09.2023 17:00,20.2
21.09.2023 14:00,21.5
21.09.2023 11:00,17.1
21.09.2023 08:00,10.6
21.09.2023 05:00,11.8
21.09.2023 02:00,11.0
20.09.2023 23:00,10.0
20.09.2023 20:00,11.6
20.09.2023 17:00,15.6
20.09.2023 14:00,14.2
20.09.2023 11:00,10.9
20.09.2023 08:00,2.5
20.09.2023 05:00,1.3
20.09.2023 02:00,1.3
19.09.2023 23:00,3.4
19.09.2023 20:00,6.9
